order-id	order-item-id	quantity	ship-date	carrier-code	carrier-name	tracking-number	ship-method	transparency_code
			12-18-2020	Other	AnPost / USPS	LX878310333IE		
114-8048192-4056247			12-18-2020	Other	AnPost / USPS	LX878310537IE		
111-5332308-1404204			12-18-2020	Other	AnPost / USPS	LX878310608IE		
114-4595742-4521820			12-18-2020	Other	AnPost / USPS	LX878310262IE		
114-4985676-2937825			12-18-2020	Other	AnPost / USPS	LX878310545IE		
113-1589340-3081860			12-18-2020	Other	AnPost / USPS	LX878310143IE		
113-3970861-7597054			12-18-2020	Other	AnPost / USPS	LX878310302IE		
112-3840235-8828218			12-18-2020	Other	AnPost / USPS	LX878310191IE		
112-0790568-2869041			12-18-2020	Other	AnPost / USPS	LX878310174IE		
111-0219122-7375424			12-18-2020	Other	AnPost / USPS	LX878310421IE		
112-0312812-9190606			12-18-2020	Other	AnPost / USPS	LX878310497IE		
111-5068802-8465007			12-18-2020	Other	AnPost / USPS	LX878310452IE		
113-3789722-2571436			12-18-2020	Other	AnPost / USPS	LX878310276IE		
113-5605122-2177035			12-18-2020	Other	AnPost / USPS	LX878310245IE		
112-9730629-3252264			12-18-2020	Other	AnPost / USPS	LX878310214IE		
111-1771341-4758617			12-18-2020	Other	AnPost / USPS	LX878310568IE		
113-0269251-1168261			12-18-2020	Other	AnPost / USPS	LX878310188IE		
112-1274229-0441065			12-18-2020	Other	AnPost / USPS	LX878310165IE		
114-1891032-4312202			12-18-2020	Other	AnPost / USPS	LX878310571IE		
112-0308256-2960278			12-18-2020	Other	AnPost / USPS	LX878310293IE		
112-6132969-7865000			12-18-2020	Other	AnPost / USPS	LX878310205IE		
113-4791253-5729805			12-18-2020	Other	AnPost / USPS	LX878310585IE		
114-4073741-9440221			12-18-2020	Other	AnPost / USPS	LX878310435IE		
111-5233439-5738633			12-18-2020	Other	AnPost / USPS	LX878310418IE		
111-1960328-7207401			12-18-2020	Other	AnPost / USPS	LX878310483IE		
113-0271194-8545068			12-18-2020	Other	AnPost / USPS	LX878310259IE		
114-1241632-5469869			12-18-2020	Other	AnPost / USPS	LX878310228IE		
111-4055141-5686665			12-18-2020	Other	AnPost / USPS	LX878310625IE		
113-6267036-6376248			12-18-2020	Other	AnPost / USPS	LX878310554IE		
112-0581192-8882652			12-18-2020	Other	AnPost / USPS	LX878310470IE		
114-7231214-0813010			12-18-2020	Other	AnPost / USPS	LX878310364IE LX878310378IE		
111-2488532-6594642			12-18-2020	Other	AnPost / USPS	LX878310449IE		
112-5615257-3077014			12-18-2020	Other	AnPost / USPS	LX878310355IE LX878310347IE		
113-2430594-3663456			12-18-2020	Other	AnPost / USPS	LX878310611IE		
112-2738440-1293064			12-18-2020	Other	AnPost / USPS	LX878310599IE		
114-7683533-6886659			12-18-2020	Other	AnPost / USPS	LX878310404IE LX878310395IE LX878310381IE		
111-6860228-8078650			12-18-2020	Other	AnPost / USPS	LX878310231IE		
111-1202819-5350667			12-18-2020	Other	AnPost / USPS	LX878310523IE LX878310510IE		
111-3729208-1626651			12-18-2020	Other	AnPost / USPS	LX878310506IE		
113-4436647-4417029			12-18-2020	Other	AnPost / USPS	LX878310320IE		
113-3217414-9604267			12-18-2020	Other	AnPost / USPS	LX878310316IE		
112-5573935-6005036			12-18-2020	Other	AnPost / USPS	LX878310157IE		
111-6533873-6241831			12-18-2020	Other	AnPost / USPS	LX878310639IE		
114-5772312-1512268			12-18-2020	Other	AnPost / USPS	LX878310466IE		
114-9591814-4089020			12-18-2020	Other	AnPost / USPS	LX878310280IE		
