Consignee_Contact_Name,Domestic_Barcode,Country_Code,DespatchDate,Batch_No,
----------------------------------------------------------------------------------------------------

114-6347011-2745013,LX878366173IE,US,20210403,20210403US,
113-7223980-8755453,LX878366363IE,US,20210403,20210403US,
113-3759209-0857010,LX878366258IE,US,20210403,20210403US,
114-1774055-1974629,LX878366261IE,US,20210403,20210403US,
114-1774055-1974629,LX878366275IE,US,20210403,20210403US,
701-2308191-1293019,LX878366023IE,CA,20210403,20210403CA,
701-2308191-1293019,LX878366037IE,CA,20210403,20210403CA,
702-4383507-2735419,LX878366045IE,CA,20210403,20210403CA,
701-2441570-9732267,LX878366054IE,CA,20210403,20210403CA,
113-0772982-3557829,LX878366235IE,US,20210403,20210403US,
114-6347011-2745013,LX878366160IE,US,20210403,20210403US,
113-0772982-3557829,LX878366227IE,US,20210403,20210403US,
114-5502065-0043440,LX878366187IE,US,20210403,20210403US,
114-5502065-0043440,LX878366195IE,US,20210403,20210403US,
114-2568153-9997858,LX878366289IE,US,20210403,20210403US,
701-1312311-0875462,LX878365990IE,CA,20210403,20210403CA,
701-2308191-1293019,LX878366006IE,CA,20210403,20210403CA,
701-2308191-1293019,LX878366010IE,CA,20210403,20210403CA,
112-6892947-1998603,LX878366200IE,US,20210403,20210403US,
701-1548754-5850665,LX878365938IE,CA,20210403,20210403CA,
112-0651776-7389043,LX878366156IE,US,20210403,20210403US,
114-7643179-9884255,CA072570850IE,US,20210403,20210403US,
701-7730669-4689859,LX878365941IE,CA,20210403,20210403CA,
701-7730669-4689859,LX878365955IE,CA,20210403,20210403CA,
701-1702813-9290665,LX878365969IE,CA,20210403,20210403CA,
701-1702813-9290665,LX878365972IE,CA,20210403,20210403CA,
702-5305495-2242629,LX878365986IE,CA,20210403,20210403CA,
202-2122406-3786716,CA072570832IE,GB,20210403,20210403UK,
206-7816689-9181931,CA072570846IE,GB,20210403,20210403UK,
205-3961379-0301963,LX878366068IE,GB,20210403,20210403UK,
113-3759209-0857010,LX878366244IE,US,20210403,20210403US,
406-0905023-8410726,LX878366071IE,ES,20210403,20210403UK,
113-7223980-8755453,LX878366377IE,US,20210403,20210403US,
113-6907062-6235459,CA072570863IE,US,20210403,20210403US,
113-2106433-7026600,LX878366085IE,US,20210403,20210403US,
113-2106433-7026600,LX878366099IE,US,20210403,20210403US,
113-0889513-7301843,LX878366108IE,US,20210403,20210403US,
113-0889513-7301843,LX878366111IE,US,20210403,20210403US,
111-9034235-0395452,LX878366125IE,US,20210403,20210403US,
111-9034235-0395452,LX878366139IE,US,20210403,20210403US,
112-0651776-7389043,LX878366142IE,US,20210403,20210403US,
204-1783134-4534768,CP087929922IE,IE,20210403,20210403UK,
114-4588954-1762602,LX878366540IE,US,20210403,20210403US,
112-6892947-1998603,LX878366213IE,US,20210403,20210403US,
114-1731346-8395421,LX878366315IE,US,20210403,20210403US,
114-8291956-3917848,LX878366329IE,US,20210403,20210403US,
114-8291956-3917848,LX878366332IE,US,20210403,20210403US,
111-7025440-6102618,LX878366346IE,US,20210403,20210403US,
111-7025440-6102618,LX878366350IE,US,20210403,20210403US,
113-6217526-8354607,LX878366505IE,US,20210403,20210403US,
113-6217526-8354607,LX878366519IE,US,20210403,20210403US,
114-2568153-9997858,LX878366292IE,US,20210403,20210403US,
113-6217526-8354607,LX878366536IE,US,20210403,20210403US,
08-06841-76317,LX878366712IE,GB,20210403,20210403eb,
114-4588954-1762602,LX878366553IE,US,20210403,20210403US,
114-4588954-1762602,LX878366567IE,US,20210403,20210403US,
113-4341802-8414668,LX878366641IE,US,20210403,20210403US,
113-2556607-7445055,LX878366655IE,US,20210403,20210403US,
113-2556607-7445055,LX878366669IE,US,20210403,20210403US,
114-5502065-0043440,LX878366672IE,US,20210403,20210403US,
111-1941578-5535460,LX878366686IE,US,20210403,20210403US,
111-0311911-3356279,LX878366690IE,US,20210403,20210403US,
113-6217526-8354607,LX878366522IE,US,20210403,20210403US,
111-5584779-2344219,LX878366482IE,US,20210403,20210403US,
112-6315756-6892245,LX878366385IE,US,20210403,20210403US,
112-6315756-6892245,LX878366394IE,US,20210403,20210403US,
113-2914667-2246627,LX878366403IE,US,20210403,20210403US,
113-2914667-2246627,LX878366417IE,US,20210403,20210403US,
111-3480178-9417848,LX878366425IE,US,20210403,20210403US,
111-3480178-9417848,LX878366434IE,US,20210403,20210403US,
113-1893731-1996210,LX878366448IE,US,20210403,20210403US,
113-1893731-1996210,LX878366451IE,US,20210403,20210403US,
114-1731346-8395421,LX878366301IE,US,20210403,20210403US,
111-5584779-2344219,LX878366479IE,US,20210403,20210403US,
27-06840-22004,LX878366709IE,CA,20210403,20210403eb,
111-5584779-2344219,LX878366496IE,US,20210403,20210403US,
114-4588954-1762602,LX878366575IE,US,20210403,20210403US,
113-5325657-1266634,LX878366584IE,US,20210403,20210403US,
111-2619515-0465844,LX878366598IE,US,20210403,20210403US,
113-6068775-7339462,LX878366607IE,US,20210403,20210403US,
112-0441060-2440243,LX878366615IE,US,20210403,20210403US,
113-9865505-8045035,LX878366624IE,US,20210403,20210403US,
113-4341802-8414668,LX878366638IE,US,20210403,20210403US,
111-5584779-2344219,LX878366465IE,US,20210403,20210403US,
