Consignee_Contact_Name,Domestic_Barcode,Country_Code,DespatchDate,Batch_No,
----------------------------------------------------------------------------------------------------

202-7202231-5350769,LX878406487IE,GB,20210702,20210702uk,
112-1922542-5485858,LX878406677IE,US,20210702,20210702us,
113-0106223-4178648,LX878406663IE,US,20210702,20210702us,
114-7706799-0934657,LX878406650IE,US,20210702,20210702us,
114-7706799-0934657,LX878406646IE,US,20210702,20210702us,
114-7706799-0934657,LX878406632IE,US,20210702,20210702us,
114-7706799-0934657,LX878406629IE,US,20210702,20210702us,
111-8321280-7260201,LX878406615IE,US,20210702,20210702us,
111-8321280-7260201,LX878406601IE,US,20210702,20210702us,
111-6944787-5746666,LX878406592IE,US,20210702,20210702us,
111-6944787-5746666,LX878406589IE,US,20210702,20210702us,
113-4269577-4496211,LX878406694IE,US,20210702,20210702us,
026-0538351-4133950,LX878406495IE,GB,20210702,20210702uk,
114-7706799-0934657,LX878406703IE,US,20210702,20210702us,
026-0458173-7812337,LX878406473IE,GB,20210702,20210702uk,
206-3548122-5933959,LX878406460IE,GB,20210702,20210702uk,
407-7736768-0051555,LX878406456IE,IT,20210702,20210702uk,
701-8011907-2189865,LX878406371IE,CA,20210702,20210702ca,
702-6980723-2333857,LX878406368IE,CA,20210702,20210702ca,
701-2403015-5314664,LX878406354IE,CA,20210702,20210702ca,
701-1563185-3972203,LX878406345IE,CA,20210702,20210702ca,
701-1563185-3972203,LX878406337IE,CA,20210702,20210702ca,
701-1416010-8975450,LX878406323IE,CA,20210702,20210702ca,
026-2512613-9192357,LX878406853IE,GB,20210702,20210702ukB,
702-0178581-0831423,LX878406840IE,CA,20210702,20210702caB,
702-0178581-0831423,LX878406836IE,CA,20210702,20210702caB,
113-8098080-2777812,LX878406500IE,US,20210702,20210702us,
113-2517519-2417843,LX878406734IE,US,20210702,20210702us,
701-6526066-9850600,LX878406442IE,CA,20210702,20210702ca,
702-4855967-1358606,LX878406439IE,CA,20210702,20210702ca,
702-9082873-0485821,LX878406425IE,CA,20210702,20210702ca,
702-4836283-8153003,LX878406411IE,CA,20210702,20210702ca,
702-5771357-4826615,LX878406408IE,CA,20210702,20210702ca,
702-5771357-4826615,LX878406399IE,CA,20210702,20210702ca,
701-8234244-1426609,LX878406385IE,CA,20210702,20210702ca,
111-8321280-7260201,LX878406782IE,US,20210702,20210702us,
113-5683220-8569047,LX878406779IE,US,20210702,20210702us,
113-2076168-9355459,LX878406765IE,US,20210702,20210702us,
114-1721819-8203469,LX878406685IE,US,20210702,20210702us,
114-8670562-5185015,LX878406748IE,US,20210702,20210702us,
702-3892385-5809830,LX878406310IE,CA,20210702,20210702ca,
113-2369088-0509848,LX878406725IE,US,20210702,20210702us,
111-1655621-5075433,LX878406575IE,US,20210702,20210702us,
111-1655621-5075433,LX878406561IE,US,20210702,20210702us,
114-6096769-4969856,LX878406558IE,US,20210702,20210702us,
114-6096769-4969856,LX878406544IE,US,20210702,20210702us,
114-4361725-0638622,LX878406535IE,US,20210702,20210702us,
114-4361725-0638622,LX878406527IE,US,20210702,20210702us,
113-8098080-2777812,LX878406513IE,US,20210702,20210702us,
17-07280-56334,LX878406819IE,US,20210702,20210702eb,
17-07280-56334,LX878406805IE,US,20210702,20210702eb,
24-07295-14100,LX878406796IE,US,20210702,20210702eb,
112-1152823-4698616,LX878406751IE,US,20210702,20210702us,
